model,objective,split,step,epoch,loss,actual_ratio,reward_accuracy,reward_margin,learning_rate,grad_norm
Qwen3-1.7B standard IPO,standard_ipo,train,840,0.9306190278354799,1868.162890625,0.5330271616578102,0.625,0.1347889626864344,3.4514581026208934e-07,602903.6875
Qwen3-1.7B standard IPO,standard_ipo,train,850,0.9416978257859022,2235.1140625,0.5173560153692961,0.625,0.07011038335040212,3.433001107419712e-07,507445.75
Qwen3-1.7B standard IPO,standard_ipo,train,860,0.9527766237363247,2179.8740234375,0.5207277446985245,0.65,0.08446020493283868,3.414544112218531e-07,505986.21875
Qwen3-1.7B standard IPO,standard_ipo,train,870,0.963855421686747,2108.268359375,0.5212160669267177,0.6875,0.08609521936159581,3.396087117017349e-07,501275.59375
Qwen3-1.7B standard IPO,standard_ipo,train,880,0.9749342196371694,2102.2271484375,0.520976635068655,0.6875,0.08462797437096015,3.377630121816168e-07,444470.5625
Qwen3-1.7B standard IPO,standard_ipo,train,890,0.9860130175875917,2103.0306640625,0.5203519865870476,0.6625,0.08240116857923567,3.359173126614987e-07,623398.1875
Qwen3-1.7B standard IPO,standard_ipo,train,900,0.9970918155380141,1863.033984375,0.5253072965890169,0.7,0.10212526693940163,3.3407161314138055e-07,522215.46875
Qwen3-1.7B standard IPO,standard_ipo,eval,900,0.9970918155380141,2069.966552734375,0.5214552920880969,0.6675603217158177,0.08683599775592139,,
Qwen3-1.7B standard IPO,standard_ipo,train,910,1.0077551585652957,1340.79150390625,0.5454069646922025,0.8831168831168831,0.18391594149220686,3.3222591362126246e-07,408430.9375
Qwen3-1.7B standard IPO,standard_ipo,train,920,1.018833956515718,1362.18720703125,0.5430108532309532,0.8375,0.1738094371976331,3.303802141011443e-07,300503.875
Qwen3-1.7B standard IPO,standard_ipo,train,930,1.0299127544661404,1175.39306640625,0.5502019993960857,0.875,0.20307475212030113,3.2853451458102623e-07,388402.375
Qwen3-1.7B standard IPO,standard_ipo,train,940,1.0409915524165627,1578.30927734375,0.5350189536809922,0.7875,0.14164547580294312,3.266888150609081e-07,353490.8125
Qwen3-1.7B standard IPO,standard_ipo,train,950,1.0520703503669853,1341.393359375,0.5439693883061409,0.8875,0.17761458116583526,3.2484311554078994e-07,386642.0
Qwen3-1.7B standard IPO,standard_ipo,train,960,1.0631491483174076,1382.9314453125,0.543483953922987,0.825,0.17584084961563348,3.229974160206718e-07,482069.1875
Qwen3-1.7B standard IPO,standard_ipo,train,970,1.07422794626783,1229.00107421875,0.5468576081097126,0.875,0.1892954202136025,3.2115171650055366e-07,352916.15625
Qwen3-1.7B standard IPO,standard_ipo,train,980,1.0853067442182522,1468.85283203125,0.541618850082159,0.825,0.16902284827665426,3.1930601698043557e-07,367669.40625
Qwen3-1.7B standard IPO,standard_ipo,train,990,1.0963855421686748,1253.1984375,0.5492559924721718,0.8875,0.19980725082568823,3.1746031746031743e-07,391657.375
Qwen3-1.7B standard IPO,standard_ipo,train,1000,1.1074643401190971,1343.8869140625,0.5505346596240998,0.875,0.20636615508701653,3.1561461794019934e-07,660182.4375
Qwen3-1.7B standard IPO,standard_ipo,eval,1000,1.1074643401190971,2088.835205078125,0.5226836937202525,0.6648793565683646,0.09197606323112112,,
Qwen3-1.7B standard IPO,standard_ipo,train,1010,1.1185431380695194,1397.0904296875,0.5430071756243706,0.8375,0.173719090083614,3.137689184200812e-07,454090.6875
Qwen3-1.7B standard IPO,standard_ipo,train,1020,1.1296219360199418,1222.8763671875,0.5487010009586811,0.8875,0.19699070049391593,3.119232188999631e-07,543039.6875
Qwen3-1.7B standard IPO,standard_ipo,train,1030,1.1407007339703643,1346.21708984375,0.5464981742203235,0.8375,0.18836351381614805,3.100775193798449e-07,687607.0625
